id,text
40,"mot_i_max (FLOAT) Motor current limit in amps Comment: Motor current limit in amps. This determines the maximum
current controller setpoint, as well as the maximum allowable
current setpoint slew rate. This value should generally be set to
the continuous current rating listed in the motor’s specification
sheet, or set equal to the motor’s specified continuous power
divided by the motor voltage limit. [1, 80] 12 A"
41,"mot_kv (INT32) Motor Kv in RPM per volt Comment: Motor Kv in RPM per volt. This can be taken from the motor’s
specification sheet; accuracy will help control performance but
some deviation from the specified value is acceptable. [0, 4000] 2300 rpm/V"
42,mot_ls (FLOAT) READ ONLY: Motor inductance in henries. Comment: READ ONLY: Motor inductance in henries. This is measured on start-up. 0.0 H
43,"mot_num_poles (INT32) Number of motor poles. Comment: Number of motor poles. Used to convert mechanical speeds to
electrical speeds. This number should be taken from the motor’s
specification sheet. [2, 40] 14"
44,"mot_rs (FLOAT) READ ONLY: Motor resistance in ohms Comment: READ ONLY: Motor resistance in ohms. This is measured on start-up. When
tuning a new motor, check that this value is approximately equal
to the value shown in the motor’s specification sheet. 0.0 Ohm"
45,"mot_v_accel (FLOAT) Acceleration limit (V) Comment: Acceleration limit (V) [0.01, 1.00] 0.5 V"
46,"mot_v_max (FLOAT) Motor voltage limit in volts Comment: Motor voltage limit in volts. The current controller’s
commanded voltage will never exceed this value. Note that this may
safely be above the nominal voltage of the motor; to determine the
actual motor voltage limit, divide the motor’s rated power by the
motor current limit. [0, ?] 14.8 V"
47,"gnss.dyn_model (INT32) GNSS dynamic model Comment: Dynamic model used in the GNSS positioning engine. 0 –
Automotive, 1 – Sea, 2 – Airborne. Values: 0: Automotive 1: Sea 2: Airborne [0, 2] 2"
48,"gnss.old_fix_msg (INT32) Broadcast old GNSS fix message Comment: Broadcast the old (deprecated) GNSS fix message
uavcan.equipment.gnss.Fix alongside the new alternative
uavcan.equipment.gnss.Fix2. It is recommended to
disable this feature to reduce the CAN bus traffic. Values: 0: Fix2 1: Fix and Fix2 [0, 1] 1"
49,"gnss.warn_dimens (INT32) device health warning Comment: Set the device health to Warning if the dimensionality of
the GNSS solution is less than this value. 3 for the full (3D)
solution, 2 for planar (2D) solution, 1 for time-only solution,
0 disables the feature. Values: 0: disables the feature 1: time-only solution 2: planar (2D) solution 3: full (3D) solution [0, 3] 0"
50,"gnss.warn_sats (INT32) Comment: Set the device health to Warning if the number of satellites
used in the GNSS solution is below this threshold. Zero
disables the feature 0"
51,"uavcan.pubp-pres (INT32) Comment: Set the device health to Warning if the number of satellites
used in the GNSS solution is below this threshold. Zero
disables the feature [0, 1000000] 0 us"
52,"ADSB_CALLSIGN_1 (INT32) First 4 characters of CALLSIGN Comment: Sets first 4 characters of a total of 8. Valid characters are A-Z, 0-9, "" "". Example ""PX4 "" -> 1347957792 For CALLSIGN shorter than 8 characters use the null terminator at the end '\0'. Reboot required: true 0"
53,"ADSB_CALLSIGN_2 (INT32) Second 4 characters of CALLSIGN Comment: Sets second 4 characters of a total of 8. Valid characters are A-Z, 0-9, "" "" only. Example ""TEST"" -> 1413829460 For CALLSIGN shorter than 8 characters use the null terminator at the end '\0'. Reboot required: true 0"
54,"ADSB_EMERGC (INT32) ADSB-Out Emergency State Comment: Sets the vehicle emergency state Values: 0: NoEmergency 1: General 2: Medical 3: LowFuel 4: NoCommunications 5: Interference 6: Downed Reboot required: false [0, 6] 0"
55,"ADSB_EMIT_TYPE (INT32) ADSB-Out Vehicle Emitter Type Comment: Configure the emitter type of the vehicle. Values: 0: Unknown 1: Light 2: Small 3: Large 4: HighVortex 5: Heavy 6: Performance 7: Rotorcraft 8: RESERVED 9: Glider 10: LightAir 11: Parachute 12: UltraLight 13: RESERVED 14: UAV 15: Space 16: RESERVED 17: EmergencySurf 18: ServiceSurf 19: PointObstacle Reboot required: true [0, 15] 14"
56,"ADSB_GPS_OFF_LAT (INT32) ADSB-Out GPS Offset lat Comment: Sets GPS lataral offset encoding Values: 0: NoData 1: LatLeft2M 2: LatLeft4M 3: LatLeft6M 4: LatRight0M 5: LatRight2M 6: LatRight4M 7: LatRight6M Reboot required: false [0, 7] 0"
57,"ADSB_GPS_OFF_LON (INT32) ADSB-Out GPS Offset lon Comment: Sets GPS longitudinal offset encoding Values: 0: NoData 1: AppliedBySensor Reboot required: false [0, 1] 0"
58,"ADSB_ICAO_ID (INT32) ADSB-Out ICAO configuration Comment: Defines the ICAO ID of the vehicle Reboot required: true [-1, 16777215] 1194684"
59,"ADSB_ICAO_SPECL (INT32) ADSB-In Special ICAO configuration Comment: This vehicle is always tracked. Use 0 to disable. Reboot required: false [0, 16777215] 0"
60,ADSB_IDENT (INT32) ADSB-Out Ident Configuration Comment: Enable Identification of Position feature Reboot required: false Disabled (0)
61,"ADSB_LEN_WIDTH (INT32) ADSB-Out Vehicle Size Configuration Comment: Report the length and width of the vehicle in meters. In most cases, use '1' for the smallest vehicle size. Values: 0: SizeUnknown 1: Len15_Wid23 2: Len25_Wid28 3: Len25_Wid34 4: Len35_Wid33 5: Len35_Wid38 6: Len45_Wid39 7: Len45_Wid45 8: Len55_Wid45 9: Len55_Wid52 10: Len65_Wid59 11: Len65_Wid67 12: Len75_Wid72 13: Len75_Wid80 14: Len85_Wid80 15: Len85_Wid90 Reboot required: true [0, 15] 1"
62,"ADSB_LIST_MAX (INT32) ADSB-In Vehicle List Size Comment: Change number of targets to track Reboot required: true [0, 50] 25"
63,"ADSB_MAX_SPEED (INT32) ADSB-Out Vehicle Max Speed Comment: Informs ADSB vehicles of this vehicle's max speed capability Values: 0: UnknownMaxSpeed 1: 75Kts 2: 150Kts 3: 300Kts 4: 600Kts 5: 1200Kts 6: Over1200Kts Reboot required: true [0, 6] 0"
64,"ADSB_SQUAWK (INT32) ADSB-Out squawk code configuration Comment: This parameter defines the squawk code. Value should be between 0000 and 7777. Reboot required: false [0, 7777] 1200"
65,"PCA9685_DIS1 (INT32) PCA9685 Output Channel 1 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
66,"PCA9685_DIS10 (INT32) PCA9685 Output Channel 10 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
67,"PCA9685_DIS11 (INT32) PCA9685 Output Channel 11 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
68,"PCA9685_DIS12 (INT32) PCA9685 Output Channel 12 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
69,"PCA9685_DIS13 (INT32) PCA9685 Output Channel 13 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
70,"PCA9685_DIS14 (INT32) PCA9685 Output Channel 14 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
71,"PCA9685_DIS15 (INT32) PCA9685 Output Channel 15 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
72,"PCA9685_DIS16 (INT32) PCA9685 Output Channel 16 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
73,"PCA9685_DIS2 (INT32) PCA9685 Output Channel 2 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
74,"PCA9685_DIS3 (INT32) PCA9685 Output Channel 3 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
75,"PCA9685_DIS4 (INT32) PCA9685 Output Channel 4 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
76,"PCA9685_DIS5 (INT32) PCA9685 Output Channel 5 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
77,"PCA9685_DIS6 (INT32) PCA9685 Output Channel 6 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
78,"PCA9685_DIS7 (INT32) PCA9685 Output Channel 7 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
79,"PCA9685_DIS8 (INT32) PCA9685 Output Channel 8 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
80,"PCA9685_DIS9 (INT32) PCA9685 Output Channel 9 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
81,"PCA9685_DUTY_EN (INT32) Put the selected channels into Duty-Cycle output mode Comment: The driver will output standard pulse-width encoded signal without this bit set. To make PCA9685 output in duty-cycle fashion, please enable the corresponding channel bit here and adjusting standard params to suit your need. The driver will have 12bits resolution for duty-cycle output. That means to achieve 0% to 100% output range on one channel, the corresponding params MIN and MAX for the channel should be set to 0 and 4096. Other standard params follows the same rule. Bitmask: 0: Put CH1 to Duty-Cycle mode 1: Put CH2 to Duty-Cycle mode 2: Put CH3 to Duty-Cycle mode 3: Put CH4 to Duty-Cycle mode 4: Put CH5 to Duty-Cycle mode 5: Put CH6 to Duty-Cycle mode 6: Put CH7 to Duty-Cycle mode 7: Put CH8 to Duty-Cycle mode 8: Put CH9 to Duty-Cycle mode 9: Put CH10 to Duty-Cycle mode 10: Put CH11 to Duty-Cycle mode 11: Put CH12 to Duty-Cycle mode 12: Put CH13 to Duty-Cycle mode 13: Put CH14 to Duty-Cycle mode"
82,"14: Put CH15 to Duty-Cycle mode 15: Put CH16 to Duty-Cycle mode [0, 65535] 0"
83,"PCA9685_FAIL1 (INT32) PCA9685 Output Channel 1 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC1). [-1, 2200] -1"
84,"PCA9685_FAIL10 (INT32) PCA9685 Output Channel 10 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC10). [-1, 2200] -1"
85,"PCA9685_FAIL11 (INT32) PCA9685 Output Channel 11 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC11). [-1, 2200] -1"
86,"PCA9685_FAIL12 (INT32) PCA9685 Output Channel 12 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC12). [-1, 2200] -1"
87,"PCA9685_FAIL13 (INT32) PCA9685 Output Channel 13 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC13). [-1, 2200] -1"
88,"PCA9685_FAIL14 (INT32) PCA9685 Output Channel 14 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC14). [-1, 2200] -1"
89,"PCA9685_FAIL15 (INT32) PCA9685 Output Channel 15 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC15). [-1, 2200] -1"
90,"PCA9685_FAIL16 (INT32) PCA9685 Output Channel 16 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC16). [-1, 2200] -1"
91,"PCA9685_FAIL2 (INT32) PCA9685 Output Channel 2 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC2). [-1, 2200] -1"
92,"PCA9685_FAIL3 (INT32) PCA9685 Output Channel 3 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC3). [-1, 2200] -1"
93,"PCA9685_FAIL4 (INT32) PCA9685 Output Channel 4 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC4). [-1, 2200] -1"
94,"PCA9685_FAIL5 (INT32) PCA9685 Output Channel 5 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC5). [-1, 2200] -1"
95,"PCA9685_FAIL6 (INT32) PCA9685 Output Channel 6 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC6). [-1, 2200] -1"
96,"PCA9685_FAIL7 (INT32) PCA9685 Output Channel 7 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC7). [-1, 2200] -1"
97,"PCA9685_FAIL8 (INT32) PCA9685 Output Channel 8 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC8). [-1, 2200] -1"
98,"PCA9685_FAIL9 (INT32) PCA9685 Output Channel 9 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PCA9685_FUNC9). [-1, 2200] -1"
